layer,priority,system_id,name,lat,lon,status_bucket,action_today,source_url,notes
poi,A,central_phitsanulok,Central Phitsanulok,16.8407,100.2332,confirmed_anchor,Check frontage parking and main entrance,https://www.centralpattana.co.th/en/our-business/shopping-center/386/central-phitsanulok,Strongest retail anchor in current model
poi,A,phitsanulok_airport,Phitsanulok Airport,16.782933,100.279125,confirmed_anchor,Check landside pickup waiting and taxi flow,https://www.airports.go.th/backend/uploads/files/309fdf1b73677c8efe55d34b17a384a4.pdf,Airport catchment and ride-hailing relevance
poi,A,naresuan_university,Naresuan University,16.7406,100.1880,confirmed_anchor,Check visitor parking and retail edge,https://english.nu.ac.th/?page_id=2871,University anchor with recurring demand
poi,A,bangkok_hospital_phitsanulok,Bangkok Hospital Phitsanulok,16.8089,100.3048,confirmed_anchor,Check entrance and patient parking,https://www.bangkokhospitalphitsanulok.com/contact-us/,Private hospital anchor on east-city side
poi,A,wat_yai_phitsanulok,Wat Phra Si Rattana Mahathat,16.823572,100.262789,confirmed_anchor,Check tourism parking and nearby market frontage,https://www.tourismthailand.org/Articles/phitsanulok-your-gateway-to-great-shopping,Old-city tourism anchor
poi,B,phitsanulok_bus_terminal_2,Phitsanulok Bus Terminal 2,16.81266,100.33007,survey_confirm,Confirm exact terminal building and frontage,https://traveling.com/en-us/bus/station/phitsanulok-bus-station,Coordinates align with multiple public directories
poi,B,buddhachinaraj_hospital,Buddhachinaraj Phitsanulok Hospital,16.808436,100.263549,survey_confirm,Confirm OPD frontage and parking,https://www.thaithurkic.com/buddhachinaraj-hospital-055-270-300,Public regional hospital and major daily anchor
poi,B,big_c_phitsanulok,Big C Supercenter Phitsanulok,16.81581,100.28966,survey_confirm,Check retail frontage and car turnover,,Retail anchor worth field confirmation
poi,B,makro_phitsanulok,Makro Phitsanulok,16.79381,100.23196,survey_confirm,Check service-trip and wholesale traffic,,Wholesale and service-trip anchor
poi,B,thai_watsadu_phitsanulok,Thai Watsadu Phitsanulok,16.8458,100.3447,survey_confirm,Check bypass-side frontage and adjacent uses,,East-side growth axis anchor
competitor,A,ptt_charging_station_phitsanulok,PTT Charging Station (Wat Chan),16.8044707,100.2449184,named_public_station,Photograph charger heads and confirm kW,https://www.spotmycharge.com/charging-station/ptt-station-ev-phitsanulok-1,Inner-city competitor
competitor,A,ptt_charging_station_phitsanulok_2,PTT Charging Station - Phitsanulok-2,16.8697625,100.2093594,named_public_station,Confirm charger count and public access,https://www.spotmycharge.com/charging-station/ptt-charging-station-phitsanulok-2,Northwest corridor competitor
competitor,A,ptt_charging_station_phitsanulok_3,PTT Charging Station - Phitsanulok-3,16.8283375,100.4145781,named_public_station,Confirm charger count and 24h access,https://www.spotmycharge.com/charging-station/ptt-charging-station-phitsanulok-3,Wang Thong east-gateway competitor
competitor,A,elexa_tha_pho,EleX by EGAT Charging Station,16.7594625,100.1897656,named_public_station,Confirm connector mix and kW,https://www.spotmycharge.com/charging-station/elex-by-egat-charging-station-phitsanulok,South-city academic-medical cluster competitor
competitor,A,sharge_phitsanulok,SHARGE Charging Station,16.8260875,100.2686719,named_public_station,Confirm site frontage and charger visibility,https://www.spotmycharge.com/charging-station/sharge-charging-station-phitsanulok,Old-city core competitor
competitor,A,mg_supercharge_city,MG Super Charge Charging Station,16.8060,100.2720,named_public_station,Confirm dealer/public access and kW,https://www.spotmycharge.com/charging-station/mg-super-charge-charging-station-phitsanulok,Inner-city dealer-network competitor
competitor,C,phitsanulok_pea_volta_headquarters_001,PEA VOLTA - PEA Phitsanulok Head Office,16.823,100.261,do_not_import_yet,Check if public charger exists at all,https://www.pea.co.th/volta,Approximate pin from LLM agent desktop file
competitor,C,phitsanulok_ea_anywhere_009,EA Anywhere - Phitsanulok,16.830,100.270,do_not_import_yet,Check if real public site exists,,Network-level placeholder only
competitor,C,phitsanulok_rever_dealer_011,Rever Sharger - BYD/Rever Phitsanulok,16.828,100.254,do_not_import_yet,Check if dealer charger is public or internal,https://reverautomotive.com,Potential dealer charger from desktop file
competitor,C,phitsanulok_evolt_city_012,EVolt - Phitsanulok City,16.822,100.264,do_not_import_yet,Check if partner site exists and is public,https://www.evolt.co.th,Network-level placeholder only
