station_id,name,operator,network,lat,lon,district,corridor,connector_summary,power_summary,source_url,source_type,confidence,notes
pea_volta_hub_chiang_mai,PEA VOLTA HUB Chiang Mai,PEA,PEA VOLTA,18.773324453425033,99.0069842711082,Mueang,Chiang Mai-Lamphun Rd / 106,"10 guns reported","900 kW total; 5x180 kW cabinets reported",https://peavoltaev.pea.co.th/pea-volta-charging-stations/,official,high,"High-impact hub competitor; also near PEA Nong Hoi; specific hub details from PEA VOLTA news page"
pea_volta_nong_hoi_cmh,PEA Electric vehicle charging station Nong Hoi,PEA,PEA VOLTA,18.7739182,99.0073107,Mueang,Chiang Mai-Lamphun Rd / 106,unknown,unknown,https://www.cmhy.city/en/place/23562-PEA-Electric-vehicle-charging-station,directory,high,"CMHY listing; likely same catchment as PEA VOLTA HUB"
ev_station_pluz_green_park,EV Station PluZ Green Park,PTTOR,EV Station PluZ,18.8066927,99.0214716,Mueang,Chiang Mai-Doi Saket Rd / 118,unknown,"Quick charge >=50 kW network standard",https://www.cmhy.city/place/35384-EV-Station-Green-Park,directory,high,"Major competitor for Meta Mall; about 2.6 km away"
greenbus_fair_super_charge,Greenbus / Fair Super Charge,Greenbus,Fair Super Charge,18.8066927,99.0214716,Mueang,Chiang Mai-Doi Saket Rd / 118,"6 guns reported","720 kW total reported",https://www.chiangmaicitylife.com/citynews/general/greenbus-launches-first-electric-fleet/,news,medium,"Confirm exact public availability and whether separate from EV Station PluZ Green Park"
charging_station_cmu,Charging Station CMU,CMU,Unknown,18.7572113,98.9399081,Mueang,Outer Ring Rd / 121,unknown,unknown,https://www.cmhy.city/en/place/23780-Charging-Station-CMU,directory,medium,"Useful west/southwest competitor and benchmark"
ea_anywhere_km_hotel,EA Anywhere KM Hotel,EA Anywhere,EA Anywhere,18.7636152,98.9498993,Mueang,Outer Ring Rd / 121,unknown,unknown,https://www.cmhy.city/en/place/23598-EA-Anywhere-Electric-vehicle-charging-station-KM-Hotel,directory,medium,"West-side competitor"
onion_kad_farang,On-ion EV Charger Kad Farang,On-ion,On-ion,18.7020182,98.9321550,Hang Dong,Chiang Mai-Hot Rd / 108,unknown,unknown,https://www.cmhy.city/en/place/38167-On-ion-EV-Charger-Kad-Farang,directory,medium,"Southwest / Hang Dong competitor"
osm_ev_charging_sansai_near_1,EV Charging near San Sai 1,Unknown,Unknown,18.841466,99.0231022,San Sai,Route 118 / north-east urban edge,unknown,unknown,data/osm_chargers_cm_full.json,osm,low,"OSM point; verify operator, power, and public availability"
osm_ev_charging_faham_near_1,EV Charging near Fa Ham 1,Unknown,Unknown,18.7976275,99.021405,Mueang,Route 118 / Fa Ham,unknown,unknown,data/osm_chargers_cm_full.json,osm,low,"OSM point; close to Meta Mall/Green Park catchment"
osm_ev_station_north_1,EV Station north of San Sai,Unknown,Unknown,18.8750449,99.0148822,San Sai,North corridor,unknown,unknown,data/osm_chargers_cm_full.json,osm,low,"OSM point; verify"
ptt_ev_don_chan_osm,PTT EV / Don Chan area,PTT,EV Station PluZ,18.7603749,99.0068497,Mueang,Chiang Mai-Lamphun Rd / 106,type2 x2,120 kW listed in OSM,data/osm_chargers_cm_full.json,osm,medium,"OSM says Type2 with 120 output; verify AC/DC details"
ptt_ev_city_osm,PTT EV city area,PTT,EV Station PluZ,18.7682401,98.9834262,Mueang,Airport / Mahidol / city south,unknown,unknown,data/osm_chargers_cm_full.json,osm,medium,"OSM point; likely relevant city competitor"
byd_city_osm,BYD charger city area,BYD,BYD,18.7681545,98.9821756,Mueang,Airport / Mahidol / city south,capacity 4,unknown,data/osm_chargers_cm_full.json,osm,medium,"Brand-specific competitor for BYD owners"
mg_supercharge_city_osm,MG Super Charge city area,MG,MG Super Charge,18.7677113,98.9806218,Mueang,Airport / Mahidol / city south,CCS2 x1,34.1 kW listed in OSM,data/osm_chargers_cm_full.json,osm,medium,"Brand-specific MG competitor"
mg_supercharge_south_osm,MG Super Charge south area,MG,MG Super Charge,18.7441994,98.9770037,Mueang,South city / Hang Dong access,CCS2 x1,62.5 kW listed in OSM,data/osm_chargers_cm_full.json,osm,medium,"South city competitor"
egat_cmu_area_osm,EGAT / EleXA CMU area,EGAT,EleXA,18.7572397,98.9399798,Mueang,Outer Ring Rd / 121,"CHAdeMO, Type2, CCS2; capacity 2",unknown,data/osm_chargers_cm_full.json,osm,medium,"Near CMU listing; west-side competitor"
pea_volta_doi_saket_side_osm,PEA Volta Doi Saket side,PEA,PEA VOLTA,18.8733985,99.1338296,Doi Saket,Route 118 / Doi Saket,capacity 2,unknown,data/osm_chargers_cm_full.json,osm,medium,"Important for 118 corridor beyond Meta Mall"
moose_hotel_ac,Moose Hotel Chiang Mai EV Charging,Moose Hotel,Private / hotel,18.802,99.014,Mueang,Superhighway / 11,6 AC chargers,AC,https://www.moosehotel.com/moosehotel-chaingmai/facilities/ev-charging-station,website,low,"Coordinates approximate from address; verify before modelling"
