zone_id,name,center_lat,center_lon,radius_km,heat_rank,demand_pool_conservative,demand_pool_base,demand_pool_upside,competition_pressure,capture_notes,confidence,last_verified_date
airport_central_cultural,Airport / Central Airport / Cultural Center,18.7677,98.9762,2.5,1,240,320,600,very_high,"Ground-truth anchor: Super EV Hub about 130 sessions/day typical and about 300 peak high season; Central Airport 12 guns could capture about 140-170/day base if access and visibility are strong",high,2026-06-01
airport_mahidol_arrivals,Airport terminal / Mahidol arrivals and hotel band,18.7669,98.9684,2.6,2,185,250,360,very_high,"Airport terminal frontage, ride-hailing pickup, rental-car handover, receiver traffic, and hotel-serving movements around the Mahidol approach justify a distinct landside heat band in addition to the Central Airport mall anchor.",high,2026-06-06
faham_central_festival_greenpark,Fa Ham / Central Festival / Big C Extra / Green Park,18.8062,99.0180,3.5,3,250,350,450,very_high,"Strong retail and Route 118/Superhighway heat, but dense competition from Tesla, EA, Green Park/Fair Super Charge, Meta Mall, and nearby chargers",high,2026-06-01
nimman_maya_cmu,Nimman / Maya / One Nimman / CMU / Suan Dok,18.7980,98.9688,3.0,3,180,250,320,medium_high,"High lifestyle, tourist, student, condo, and hospital heat; DC hub capture depends heavily on parking control and access",medium,2026-06-01
hangdong_kadfarang_route108,Hang Dong / Kad Farang / Route 108 / Mae Hia,18.7020,98.9322,5.0,4,140,200,260,medium,"Affluent residential and tourism corridor; attractive if the site is true roadside with food, restroom, and easy ingress/egress",medium,2026-06-01
maerim_chotana_route107,Mae Rim / Chotana / Route 107,18.8850,98.9600,6.0,5,120,180,240,medium,"Tourism corridor and north-side residential demand; stronger on weekend and holiday peaks than ordinary weekdays",medium,2026-06-01
sansai_maejo_route118,San Sai / Mae Jo / Route 118,18.8408,99.0700,5.5,6,150,220,300,high,"Residential growth and Route 118 traffic; capture is sensitive because existing chargers already shape the catchment",medium,2026-06-01
sankamphaeng_bosang_maeon,San Kamphaeng / Bo Sang / Mae On,18.7417,99.0800,7.0,7,90,130,180,medium_high,"Corridor heat exists, but Punn Suk shows that site readiness can materially reduce capture; use conservative assumptions unless frontage and amenities are strong",medium,2026-06-01
old_city_thaphae_nightbazaar,Old City / Tha Phae / Night Bazaar,18.7880,98.9930,2.5,8,120,170,220,medium,"Tourist and hotel density is high, but DC fast charging is constrained by parking, streets, and access friction",medium,2026-06-01
saraphi_lamphun_route106,Chiang Mai-Lamphun gateway / Saraphi / Route 106,18.7310,99.0240,5.5,9,95,140,185,medium_high,"Core south-east spillover corridor from Chiang Mai into Lamphun; commuter, retail, and intercity traffic justify broader heat coverage beyond the inner city",medium,2026-06-04
doi_saket_mae_on_route118,Route 118 Doi Saket / Mae On / Lampang corridor,18.8190,99.1770,7.5,10,100,150,210,medium_high,"Eastern Chiang Mai corridor toward Lampang with district spillover, roadside demand, and long-distance charging relevance beyond the urban core",medium,2026-06-04
chiang_dao_fang_route107,Route 107 Chiang Dao / Chai Prakan / Fang corridor,19.6790,99.1200,8.5,11,90,135,190,medium,"Northbound intercity and tourism corridor carrying Chiang Mai to Fang and onward Chiang Rai-side traffic; useful to avoid underweighting northern district demand",medium,2026-06-04
mae_ai_thaton_border_corridor,Mae Ai / Tha Ton border-adjacent corridor,20.0380,99.3180,6.5,12,70,105,145,medium,"Far north service and tourism corridor with fewer charger alternatives and cross-province pull toward Chiang Rai-side destinations",medium_low,2026-06-04
phrao_northeast_corridor,Phrao northeast valley corridor,19.3650,99.2150,5.0,13,55,85,120,medium,"Northeast Chiang Mai district demand near the Phayao and Chiang Rai approach corridors; supports broader district coverage outside the city cluster",medium,2026-06-04
